耀,羽,20
蘄,艹,0
涉,氵,10
谈,讠,10
伊,亻,6
預,页,0
亟,二,8
洞,氵,9
咣,口,0
猢,犭,0
媧,女,0
礦,石,0
悫,心,0
缪,纟,14
河,氵,8
临,丨,9
犷,犭,6
鄶,阝,0
吸,口,6
碻,石,0
娼,女,0
线,纟,8
晄,日,0
談,讠,0
反,又,4
牌,片,12
雏,隹,13
姑,女,8
硐,石,0
鳓,鱼,0
織,纟,0
遠,辶,0
卢,卜,5
知,矢,8
除,阝,9
緩,纟,0
彪,彡,11
觱,角,0
歲,山,0
闹,门,8
壻,女,0
鯽,鱼,0
廿,一,4
覆,覀,18
辊,车,0
劌,刂,0
閎,门,0
鮒,鱼,0
应,广,7
蠛,虫,0
檜,木,0
踟,足,0
儡,亻,17
皤,白,0
崩,山,11
芬,艹,7
冶,冫,7
钸,钅,0
骼,骨,15
赉,贝,0
鍍,钅,0
饑,饣,0
臖,月,0
湟,氵,0
跞,足,0
瑣,王,0
鏢,钅,0
囤,囗,0
峨,山,10
括,扌,9
虯,虫,0
棰,木,0
豳,豕,0
併,干,0
滴,氵,14
须,彡,9
孽,子,0
鹿,鹿,11
沉,氵,7
贈,贝,0
上,一,3
犍,牜,0
后,口,6
碑,石,13
餐,食,16
怖,忄,8
蒙,艹,13
邡,阝,0
砦,石,0
鲩,鱼,0
憫,忄,0
枯,木,9
萮,艹,0
伴,亻,7
玷,王,9
逶,辶,11
离,亠,10
羿,羽,9
鰾,鱼,0
浈,氵,0
釋,采,0
壑,土,17
祐,礻,0
鷓,鸟,0
罔,网,0
蕘,艹,0
櫝,木,0
譜,讠,0
盥,皿,0
裱,衤,0
号,口,5
灶,火,7
铹,钅,0
姻,女,9
忿,心,8
节,艹,5
躊,足,0
厌,厂,6
钎,钅,0
妐,女,0
紓,纟,0
骒,马,0
茗,艹,0
輟,车,0
倡,亻,10
熠,火,0
锣,钅,13
瞤,目,0
鬧,门,0
傶,亻,0
琹,王,0
稽,禾,15
拂,扌,8
豉,豆,0
克,十,7
鉍,钅,0
坏,土,7
鹕,鸟,0
胖,月,9
賞,贝,0
几,几,2
埤,土,0
筧,竹,0
巨,"匚
",4
腫,月,0
黪,黑,0
蝯,犭,0
赳,走,9
篼,竹,0
齿,齿,8
舀,臼,10
萄,艹,11
澉,氵,0
騐,马,0
挖,扌,9
嚣,口,18
閥,门,0
符,竹,11
披,扌,8
蜮,虫,0
褲,衤,0
炷,火,0
窻,穴,0
锺,钅,0
鼾,鼻,17
所,户,8
蛃,虫,0
摄,扌,13
鋋,釒,0
凍,冫,0
灌,氵,20
穐,禾,0
柙,木,0
佞,亻,0
兢,十,14
鑤,刂,0
学,子,8
翩,羽,15
鹨,鸟,0
臭,自,10
诱,讠,9
仳,亻,0
践,足,12
嫻,女,0
畺,田,0
罾,罒,0
昃,日,0
膂,月,0
标,木,9
予,乛,4
越,走,12
